ID,choice_number,age,educ,emp,emp_other,hh_inc,inc,hh_size,hh_emp,mrts,mil_resp,mil_done,mil_time,mil_choice,mil_curr,patriotism 1,patriotism 2,patriotism 3,patriotism 4,patriotism 5,patriotism 6,patriotism 7,patriotism 8,patriotism 9,patriotism 10,patriotism 11,patriotism 12,patriotism 13,patriotism 14,patriotism 15,patriotism 16,patriotism 17,patriotism 18,patriotism 19,patriotism 20,secularism 1,secularism 2,secularism 3,secularism 4,secularism 5,secularism 6,secularism 7,secularism 8,secularism 9,secularism 10,secularism 11,secularism 12,secularism 13,secularism 14,secularism 15,secularism 16,secularism 17,secularism 18,secularism 19,secularism 20,secularism 21,secularism 22,secularism 23,secularism 24,secularism 25,standard_duration,standard_price,paid1_duration,paid1_price,paid2_duration,paid2_price,choice_A,choice_B,choice_C
R_9axcuPQBv4HHtNE,2,4,4,0,,7,7,2,1,1,1,0,,,1,1,1,5,1,2,1,2,1,1,3,2,1,4,4,5,5,4,5,5,4,2,4,4,2,4,3,4,4,3,4,2,2,4,3,4,4,3,3,4,4,4,4,4,5,5,24,0,17,960000,18,370000,0,1,0
R_9zjj4C4yoIuLA8F,3,2,4,3,,2,0,2,1,0,1,0,,,1,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,3,2,2,1,1,1,2,2,1,3,2,1,1,3,3,4,4,3,3,3,2,4,24,0,5,100000,4,340000,1,0,0
R_9JKCZV6WaRacZIx,3,0,2,0,,5,3,1,1,0,1,0,,,0,2,3,4,2,3,2,4,3,3,3,3,3,4,4,4,3,4,3,4,4,1,1,2,3,4,3,4,4,3,3,3,4,3,4,4,4,5,4,3,3,3,3,4,4,5,24,0,5,90000,4,340000,1,0,0
R_9fM8hwnpYHe6FS9,3,2,3,0,,7,7,2,1,0,1,0,,,0,2,3,4,3,3,3,3,4,4,4,3,4,4,4,3,3,3,3,2,2,3,3,4,3,3,4,4,3,4,3,4,3,4,4,4,4,4,4,3,3,4,3,3,3,3,24,0,5,350000,7,130000,1,0,0
R_987ubqWXt0uMtNv,3,4,4,0,,7,7,2,1,1,1,0,,,1,4,4,3,4,3,2,1,3,4,4,4,4,3,3,4,5,3,3,4,3,1,4,5,5,3,4,4,4,5,4,3,4,3,4,4,5,4,5,4,5,4,4,4,4,4,24,0,7,230000,6,370000,0,1,0
R_9MSc5zFNQrr9pM5,3,2,3,2,,2,3,4,0,0,1,0,,,1,5,5,5,5,4,5,4,5,4,4,4,4,5,5,4,3,4,5,3,5,4,3,3,4,5,4,3,4,5,3,4,4,3,4,4,3,5,4,3,3,2,3,2,4,3,24,0,5,240000,4,340000,0,0,1
R_9pXoRskEQ17VUDr,3,1,2,1,,3,4,2,1,1,1,0,,,0,4,4,3,3,4,3,4,4,5,4,4,3,3,4,3,2,4,3,4,3,4,4,3,4,4,3,3,1,3,4,3,3,4,2,3,3,5,5,2,4,5,4,3,4,4,24,0,5,260000,4,340000,1,0,0
R_9bAIZNAYy4dR7ON,3,0,1,1,,3,3,1,1,1,1,0,,,0,2,2,3,3,2,1,1,1,1,3,2,2,3,2,2,1,2,1,2,1,5,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,2,24,0,6,370000,7,310000,0,0,1
R_9thQYDRLVjO6G8K,3,2,3,2,,4,3,2,2,0,1,0,,,1,2,3,3,4,3,4,3,4,3,4,3,5,3,4,3,4,3,4,4,5,5,1,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,24,0,8,340000,7,400000,1,0,0
R_92YjG6dVfEopRR9,3,1,1,2,,1,0,2,1,0,1,0,,,1,4,3,5,5,2,4,2,3,5,4,1,2,4,5,4,5,4,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,4,1,1,1,5,1,24,0,5,230000,4,340000,1,0,0
R_9axcuPQBv4HHtNE,3,4,4,0,,7,7,2,1,1,1,0,,,1,1,1,5,1,2,1,2,1,1,3,2,1,4,4,5,5,4,5,5,4,2,4,4,2,4,3,4,4,3,4,2,2,4,3,4,4,3,3,4,4,4,4,4,5,5,24,0,5,280000,4,340000,0,1,0
R_9zjj4C4yoIuLA8F,4,2,4,3,,2,0,2,1,0,1,0,,,1,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,3,2,2,1,1,1,2,2,1,3,2,1,1,3,3,4,4,3,3,3,2,4,24,0,7,190000,2,310000,0,1,0
R_9JKCZV6WaRacZIx,4,0,2,0,,5,3,1,1,0,1,0,,,0,2,3,4,2,3,2,4,3,3,3,3,3,4,4,4,3,4,3,4,4,1,1,2,3,4,3,4,4,3,3,3,4,3,4,4,4,5,4,3,3,3,3,4,4,5,24,0,19,1340000,20,150000,0,1,0
R_9fM8hwnpYHe6FS9,4,2,3,0,,7,7,2,1,0,1,0,,,0,2,3,4,3,3,3,3,4,4,4,3,4,4,4,3,3,3,3,2,2,3,3,4,3,3,4,4,3,4,3,4,3,4,4,4,4,4,4,3,3,4,3,3,3,3,24,0,5,220000,4,340000,0,1,0
R_987ubqWXt0uMtNv,4,4,4,0,,7,7,2,1,1,1,0,,,1,4,4,3,4,3,2,1,3,4,4,4,4,3,3,4,5,3,3,4,3,1,4,5,5,3,4,4,4,5,4,3,4,3,4,4,5,4,5,4,5,4,4,4,4,4,24,0,4,140000,1,290000,0,1,0
R_9MSc5zFNQrr9pM5,4,2,3,2,,2,3,4,0,0,1,0,,,1,5,5,5,5,4,5,4,5,4,4,4,4,5,5,4,3,4,5,3,5,4,3,3,4,5,4,3,4,5,3,4,4,3,4,4,3,5,4,3,3,2,3,2,4,3,24,0,16,840000,17,300000,0,0,1
R_9pXoRskEQ17VUDr,4,1,2,1,,3,4,2,1,1,1,0,,,0,4,4,3,3,4,3,4,4,5,4,4,3,3,4,3,2,4,3,4,3,4,4,3,4,4,3,3,1,3,4,3,3,4,2,3,3,5,5,2,4,5,4,3,4,4,24,0,7,160000,0,280000,0,1,0
R_9bAIZNAYy4dR7ON,4,0,1,1,,3,3,1,1,1,1,0,,,0,2,2,3,3,2,1,1,1,1,3,2,2,3,2,2,1,2,1,2,1,5,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,2,24,0,4,340000,7,180000,0,1,0
R_9thQYDRLVjO6G8K,4,2,3,2,,4,3,2,2,0,1,0,,,1,2,3,3,4,3,4,3,4,3,4,3,5,3,4,3,4,3,4,4,5,5,1,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,24,0,8,220000,7,400000,1,0,0
R_92YjG6dVfEopRR9,4,1,1,2,,1,0,2,1,0,1,0,,,1,4,3,5,5,2,4,2,3,5,4,1,2,4,5,4,5,4,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,4,1,1,1,5,1,24,0,14,670000,15,80000,0,1,0
R_9axcuPQBv4HHtNE,4,4,4,0,,7,7,2,1,1,1,0,,,1,1,1,5,1,2,1,2,1,1,3,2,1,4,4,5,5,4,5,5,4,2,4,4,2,4,3,4,4,3,4,2,2,4,3,4,4,3,3,4,4,4,4,4,5,5,24,0,9,450000,10,190000,0,1,0
R_9zjj4C4yoIuLA8F,5,2,4,3,,2,0,2,1,0,1,0,,,1,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,3,2,2,1,1,1,2,2,1,3,2,1,1,3,3,4,4,3,3,3,2,4,24,0,7,230000,6,370000,1,0,0
R_9JKCZV6WaRacZIx,5,0,2,0,,5,3,1,1,0,1,0,,,0,2,3,4,2,3,2,4,3,3,3,3,3,4,4,4,3,4,3,4,4,1,1,2,3,4,3,4,4,3,3,3,4,3,4,4,4,5,4,3,3,3,3,4,4,5,24,0,6,90000,5,350000,1,0,0
R_9fM8hwnpYHe6FS9,5,2,3,0,,7,7,2,1,0,1,0,,,0,2,3,4,3,3,3,3,4,4,4,3,4,4,4,3,3,3,3,2,2,3,3,4,3,3,4,4,3,4,3,4,3,4,4,4,4,4,4,3,3,4,3,3,3,3,24,0,5,250000,0,280000,0,1,0
R_987ubqWXt0uMtNv,5,4,4,0,,7,7,2,1,1,1,0,,,1,4,4,3,4,3,2,1,3,4,4,4,4,3,3,4,5,3,3,4,3,1,4,5,5,3,4,4,4,5,4,3,4,3,4,4,5,4,5,4,5,4,4,4,4,4,24,0,6,370000,7,160000,1,0,0
R_9MSc5zFNQrr9pM5,5,2,3,2,,2,3,4,0,0,1,0,,,1,5,5,5,5,4,5,4,5,4,4,4,4,5,5,4,3,4,5,3,5,4,3,3,4,5,4,3,4,5,3,4,4,3,4,4,3,5,4,3,3,2,3,2,4,3,24,0,16,840000,17,420000,0,0,1
R_9pXoRskEQ17VUDr,5,1,2,1,,3,4,2,1,1,1,0,,,0,4,4,3,3,4,3,4,4,5,4,4,3,3,4,3,2,4,3,4,3,4,4,3,4,4,3,3,1,3,4,3,3,4,2,3,3,5,5,2,4,5,4,3,4,4,24,0,7,150000,2,310000,1,0,0
R_9bAIZNAYy4dR7ON,5,0,1,1,,3,3,1,1,1,1,0,,,0,2,2,3,3,2,1,1,1,1,3,2,2,3,2,2,1,2,1,2,1,5,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,2,24,0,16,840000,17,340000,0,0,1
R_9thQYDRLVjO6G8K,5,2,3,2,,4,3,2,2,0,1,0,,,1,2,3,3,4,3,4,3,4,3,4,3,5,3,4,3,4,3,4,4,5,5,1,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,24,0,13,610000,14,320000,0,1,0
R_92YjG6dVfEopRR9,5,1,1,2,,1,0,2,1,0,1,0,,,1,4,3,5,5,2,4,2,3,5,4,1,2,4,5,4,5,4,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,4,1,1,1,5,1,24,0,0,280000,8,90000,1,0,0
R_9axcuPQBv4HHtNE,5,4,4,0,,7,7,2,1,1,1,0,,,1,1,1,5,1,2,1,2,1,1,3,2,1,4,4,5,5,4,5,5,4,2,4,4,2,4,3,4,4,3,4,2,2,4,3,4,4,3,3,4,4,4,4,4,5,5,24,0,9,450000,10,160000,0,1,0
R_9zjj4C4yoIuLA8F,6,2,4,3,,2,0,2,1,0,1,0,,,1,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,3,2,2,1,1,1,2,2,1,3,2,1,1,3,3,4,4,3,3,3,2,4,24,0,7,110000,6,370000,1,0,0
R_9JKCZV6WaRacZIx,6,0,2,0,,5,3,1,1,0,1,0,,,0,2,3,4,2,3,2,4,3,3,3,3,3,4,4,4,3,4,3,4,4,1,1,2,3,4,3,4,4,3,3,3,4,3,4,4,4,5,4,3,3,3,3,4,4,5,24,0,9,450000,10,190000,0,1,0
R_9fM8hwnpYHe6FS9,6,2,3,0,,7,7,2,1,0,1,0,,,0,2,3,4,3,3,3,3,4,4,4,3,4,4,4,3,3,3,3,2,2,3,3,4,3,3,4,4,3,4,3,4,3,4,4,4,4,4,4,3,3,4,3,3,3,3,24,0,8,420000,9,240000,1,0,0
R_987ubqWXt0uMtNv,6,4,4,0,,7,7,2,1,1,1,0,,,1,4,4,3,4,3,2,1,3,4,4,4,4,3,3,4,5,3,3,4,3,1,4,5,5,3,4,4,4,5,4,3,4,3,4,4,5,4,5,4,5,4,4,4,4,4,24,0,7,240000,6,370000,1,0,0
R_9MSc5zFNQrr9pM5,6,2,3,2,,2,3,4,0,0,1,0,,,1,5,5,5,5,4,5,4,5,4,4,4,4,5,5,4,3,4,5,3,5,4,3,3,4,5,4,3,4,5,3,4,4,3,4,4,3,5,4,3,3,2,3,2,4,3,24,0,7,270000,6,370000,0,0,1
R_9pXoRskEQ17VUDr,6,1,2,1,,3,4,2,1,1,1,0,,,0,4,4,3,3,4,3,4,4,5,4,4,3,3,4,3,2,4,3,4,3,4,4,3,4,4,3,3,1,3,4,3,3,4,2,3,3,5,5,2,4,5,4,3,4,4,24,0,3,320000,6,40000,0,1,0
R_9bAIZNAYy4dR7ON,6,0,1,1,,3,3,1,1,1,1,0,,,0,2,2,3,3,2,1,1,1,1,3,2,2,3,2,2,1,2,1,2,1,5,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,2,24,0,18,1120000,19,790000,0,0,1
R_9thQYDRLVjO6G8K,6,2,3,2,,4,3,2,2,0,1,0,,,1,2,3,3,4,3,4,3,4,3,4,3,5,3,4,3,4,3,4,4,5,5,1,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,24,0,5,220000,4,340000,1,0,0
R_92YjG6dVfEopRR9,6,1,1,2,,1,0,2,1,0,1,0,,,1,4,3,5,5,2,4,2,3,5,4,1,2,4,5,4,5,4,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,4,1,1,1,5,1,24,0,8,170000,7,400000,1,0,0
R_9axcuPQBv4HHtNE,6,4,4,0,,7,7,2,1,1,1,0,,,1,1,1,5,1,2,1,2,1,1,3,2,1,4,4,5,5,4,5,5,4,2,4,4,2,4,3,4,4,3,4,2,2,4,3,4,4,3,3,4,4,4,4,4,5,5,24,0,7,80000,6,370000,1,0,0
R_9zjj4C4yoIuLA8F,7,2,4,3,,2,0,2,1,0,1,0,,,1,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,3,2,2,1,1,1,2,2,1,3,2,1,1,3,3,4,4,3,3,3,2,4,24,0,6,370000,7,310000,0,1,0
R_9JKCZV6WaRacZIx,7,0,2,0,,5,3,1,1,0,1,0,,,0,2,3,4,2,3,2,4,3,3,3,3,3,4,4,4,3,4,3,4,4,1,1,2,3,4,3,4,4,3,3,3,4,3,4,4,4,5,4,3,3,3,3,4,4,5,24,0,0,280000,6,50000,1,0,0
R_9fM8hwnpYHe6FS9,7,2,3,0,,7,7,2,1,0,1,0,,,0,2,3,4,3,3,3,3,4,4,4,3,4,4,4,3,3,3,3,2,2,3,3,4,3,3,4,4,3,4,3,4,3,4,4,4,4,4,4,3,3,4,3,3,3,3,24,0,6,250000,5,350000,0,1,0
R_987ubqWXt0uMtNv,7,4,4,0,,7,7,2,1,1,1,0,,,1,4,4,3,4,3,2,1,3,4,4,4,4,3,3,4,5,3,3,4,3,1,4,5,5,3,4,4,4,5,4,3,4,3,4,4,5,4,5,4,5,4,4,4,4,4,24,0,7,400000,8,270000,0,1,0
R_9MSc5zFNQrr9pM5,7,2,3,2,,2,3,4,0,0,1,0,,,1,5,5,5,5,4,5,4,5,4,4,4,4,5,5,4,3,4,5,3,5,4,3,3,4,5,4,3,4,5,3,4,4,3,4,4,3,5,4,3,3,2,3,2,4,3,24,0,2,310000,6,190000,0,0,1
R_9pXoRskEQ17VUDr,7,1,2,1,,3,4,2,1,1,1,0,,,0,4,4,3,3,4,3,4,4,5,4,4,3,3,4,3,2,4,3,4,3,4,4,3,4,4,3,3,1,3,4,3,3,4,2,3,3,5,5,2,4,5,4,3,4,4,24,0,7,160000,6,370000,1,0,0
R_9bAIZNAYy4dR7ON,7,0,1,1,,3,3,1,1,1,1,0,,,0,2,2,3,3,2,1,1,1,1,3,2,2,3,2,2,1,2,1,2,1,5,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,2,24,0,8,420000,9,80000,0,1,0
R_9thQYDRLVjO6G8K,7,2,3,2,,4,3,2,2,0,1,0,,,1,2,3,3,4,3,4,3,4,3,4,3,5,3,4,3,4,3,4,4,5,5,1,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,24,0,6,200000,5,350000,1,0,0
R_92YjG6dVfEopRR9,7,1,1,2,,1,0,2,1,0,1,0,,,1,4,3,5,5,2,4,2,3,5,4,1,2,4,5,4,5,4,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,4,1,1,1,5,1,24,0,7,100000,4,340000,1,0,0
R_9axcuPQBv4HHtNE,7,4,4,0,,7,7,2,1,1,1,0,,,1,1,1,5,1,2,1,2,1,1,3,2,1,4,4,5,5,4,5,5,4,2,4,4,2,4,3,4,4,3,4,2,2,4,3,4,4,3,3,4,4,4,4,4,5,5,24,0,5,180000,4,340000,1,0,0
R_9zjj4C4yoIuLA8F,8,2,4,3,,2,0,2,1,0,1,0,,,1,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,3,2,2,1,1,1,2,2,1,3,2,1,1,3,3,4,4,3,3,3,2,4,24,0,1,290000,7,220000,1,0,0
R_9JKCZV6WaRacZIx,8,0,2,0,,5,3,1,1,0,1,0,,,0,2,3,4,2,3,2,4,3,3,3,3,3,4,4,4,3,4,3,4,4,1,1,2,3,4,3,4,4,3,3,3,4,3,4,4,4,5,4,3,3,3,3,4,4,5,24,0,14,670000,15,460000,0,1,0
R_9fM8hwnpYHe6FS9,8,2,3,0,,7,7,2,1,0,1,0,,,0,2,3,4,3,3,3,3,4,4,4,3,4,4,4,3,3,3,3,2,2,3,3,4,3,3,4,4,3,4,3,4,3,4,4,4,4,4,4,3,3,4,3,3,3,3,24,0,7,90000,6,370000,1,0,0
R_987ubqWXt0uMtNv,8,4,4,0,,7,7,2,1,1,1,0,,,1,4,4,3,4,3,2,1,3,4,4,4,4,3,3,4,5,3,3,4,3,1,4,5,5,3,4,4,4,5,4,3,4,3,4,4,5,4,5,4,5,4,4,4,4,4,24,0,6,80000,4,340000,0,1,0
R_9MSc5zFNQrr9pM5,8,2,3,2,,2,3,4,0,0,1,0,,,1,5,5,5,5,4,5,4,5,4,4,4,4,5,5,4,3,4,5,3,5,4,3,3,4,5,4,3,4,5,3,4,4,3,4,4,3,5,4,3,3,2,3,2,4,3,24,0,6,140000,5,350000,0,0,1
R_9pXoRskEQ17VUDr,8,1,2,1,,3,4,2,1,1,1,0,,,0,4,4,3,3,4,3,4,4,5,4,4,3,3,4,3,2,4,3,4,3,4,4,3,4,4,3,3,1,3,4,3,3,4,2,3,3,5,5,2,4,5,4,3,4,4,24,0,17,960000,18,690000,0,0,1
R_9bAIZNAYy4dR7ON,8,0,1,1,,3,3,1,1,1,1,0,,,0,2,2,3,3,2,1,1,1,1,3,2,2,3,2,2,1,2,1,2,1,5,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,2,24,0,15,750000,16,650000,0,0,1
R_9thQYDRLVjO6G8K,8,2,3,2,,4,3,2,2,0,1,0,,,1,2,3,3,4,3,4,3,4,3,4,3,5,3,4,3,4,3,4,4,5,5,1,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,24,0,7,260000,2,310000,0,1,0
R_92YjG6dVfEopRR9,8,1,1,2,,1,0,2,1,0,1,0,,,1,4,3,5,5,2,4,2,3,5,4,1,2,4,5,4,5,4,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,4,1,1,1,5,1,24,0,4,220000,0,280000,0,1,0
R_9axcuPQBv4HHtNE,8,4,4,0,,7,7,2,1,1,1,0,,,1,1,1,5,1,2,1,2,1,1,3,2,1,4,4,5,5,4,5,5,4,2,4,4,2,4,3,4,4,3,4,2,2,4,3,4,4,3,3,4,4,4,4,4,5,5,24,0,7,200000,6,370000,1,0,0
R_9zjj4C4yoIuLA8F,9,2,4,3,,2,0,2,1,0,1,0,,,1,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,3,2,2,1,1,1,2,2,1,3,2,1,1,3,3,4,4,3,3,3,2,4,24,0,9,450000,10,60000,0,1,0
R_9JKCZV6WaRacZIx,9,0,2,0,,5,3,1,1,0,1,0,,,0,2,3,4,2,3,2,4,3,3,3,3,3,4,4,4,3,4,3,4,4,1,1,2,3,4,3,4,4,3,3,3,4,3,4,4,4,5,4,3,3,3,3,4,4,5,24,0,18,1120000,19,530000,0,1,0
R_9fM8hwnpYHe6FS9,9,2,3,0,,7,7,2,1,0,1,0,,,0,2,3,4,3,3,3,3,4,4,4,3,4,4,4,3,3,3,3,2,2,3,3,4,3,3,4,4,3,4,3,4,3,4,4,4,4,4,4,3,3,4,3,3,3,3,24,0,7,100000,6,370000,0,1,0
R_987ubqWXt0uMtNv,9,4,4,0,,7,7,2,1,1,1,0,,,1,4,4,3,4,3,2,1,3,4,4,4,4,3,3,4,5,3,3,4,3,1,4,5,5,3,4,4,4,5,4,3,4,3,4,4,5,4,5,4,5,4,4,4,4,4,24,0,15,750000,16,110000,0,1,0
R_9MSc5zFNQrr9pM5,9,2,3,2,,2,3,4,0,0,1,0,,,1,5,5,5,5,4,5,4,5,4,4,4,4,5,5,4,3,4,5,3,5,4,3,3,4,5,4,3,4,5,3,4,4,3,4,4,3,5,4,3,3,2,3,2,4,3,24,0,5,250000,4,340000,0,0,1
